3.1;24.19;39.19;20.79;4.8;13.5;23.19;3.7;125.46;3.2;0.7;66.28;34.99;137.76;1.7;41.19;4.4;90.47;40.89;61.28;59.88;30.09;0.2;0.6;6.9;1.2;
15.8;0.2;0.1;0.2;13.0;0.1;0.2;0.0;13.2;0.4;1.0;18.09;0.1;0.1;14.6;0.1;0.3;18.69;2.9;1.6;4.4;0.3;0.0;0.0;0.4;0.0;
31.19;0.0;7.3;1.9;76.48;0.2;0.2;41.09;20.89;0.3;0.5;12.4;0.5;0.1;67.68;1.1;0.7;10.0;1.4;14.2;13.2;0.2;0.0;0.0;1.1;0.0;
42.69;0.1;0.8;2.4;240.83;0.2;0.5;2.5;37.79;0.3;0.0;1.4;2.1;0.5;23.09;0.4;0.6;13.4;6.4;0.3;40.59;0.4;0.1;0.0;0.5;0.0;
61.58;17.59;91.67;99.77;78.18;25.79;20.89;6.7;17.89;9.6;0.8;138.16;105.57;212.04;13.6;69.88;18.99;151.36;331.7;130.66;76.08;25.79;1.1;12.5;1.5;6.0;
18.09;0.1;0.1;0.8;17.99;11.8;0.1;0.1;18.99;0.0;0.0;4.3;0.1;0.1;21.29;0.1;0.2;10.6;1.2;0.1;6.1;0.0;0.0;0.0;0.1;0.0;
13.5;0.1;1.0;0.9;40.79;0.4;6.3;0.3;6.9;0.6;0.4;7.4;1.0;10.3;4.7;0.5;0.1;19.69;1.2;2.3;8.1;0.1;0.0;0.0;0.2;0.0;
26.69;0.5;0.4;0.1;28.49;0.0;0.0;0.0;14.9;0.3;0.0;0.3;0.4;1.7;10.7;0.0;0.3;1.8;0.5;0.0;4.2;0.0;0.1;0.0;0.7;0.0;
17.59;8.5;20.29;17.2;102.97;11.4;11.5;0.6;4.9;1.4;0.0;79.78;18.09;79.68;52.38;7.5;21.49;39.99;89.67;124.26;1.1;18.99;0.1;4.0;0.0;0.4;
7.6;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;9.1;0.0;0.0;0.0;0.0;0.0;4.2;0.0;0.0;0.0;0.2;0.0;
0.8;0.0;0.0;0.0;0.6;0.0;0.3;0.0;0.6;0.0;0.0;0.0;1.0;0.3;0.9;0.0;0.0;0.5;0.1;0.0;0.0;0.0;0.0;0.0;0.3;0.0;
126.96;1.4;2.2;5.8;236.53;2.5;1.4;3.9;51.19;0.4;0.1;64.68;1.8;4.1;28.09;6.9;4.7;1.6;12.6;4.2;36.89;1.4;0.0;0.0;1.5;0.1;
50.99;15.2;1.1;1.1;109.87;0.0;0.1;0.1;30.19;0.0;0.0;0.7;24.29;0.4;33.39;20.09;0.2;1.0;1.0;0.8;5.2;0.1;0.0;0.0;0.3;0.0;
40.49;3.0;43.79;78.48;98.47;12.4;22.19;2.4;31.59;1.7;0.7;8.9;6.8;24.89;30.29;13.0;8.2;5.5;84.58;169.35;11.4;10.9;0.0;0.1;1.9;2.0;
0.6;8.3;8.8;10.1;4.6;3.2;11.5;0.7;45.19;1.4;0.3;18.39;39.09;164.55;0.8;17.49;1.9;49.09;12.6;10.9;108.57;2.8;0.9;0.4;6.2;0.4;
67.08;0.1;0.3;2.1;44.09;0.5;0.1;13.6;11.9;0.0;0.0;37.69;0.2;0.4;50.49;12.5;0.1;36.29;3.1;6.5;14.0;0.1;0.0;0.0;0.1;0.0;
0.2;0.0;0.3;0.0;0.1;0.0;0.0;0.1;0.0;0.0;0.0;0.1;0.3;0.0;0.0;0.1;0.0;0.1;0.0;0.0;97.47;0.0;0.0;0.0;0.0;0.0;
89.57;5.3;16.8;30.19;188.45;4.6;9.6;0.5;58.28;1.1;0.3;29.19;18.09;8.8;51.98;8.2;5.1;17.59;38.59;44.49;18.29;7.7;0.1;0.1;2.1;0.5;
80.88;8.5;30.59;73.48;137.66;15.1;7.3;8.3;56.48;3.6;0.0;45.29;19.19;10.7;52.08;49.59;19.09;13.7;70.18;57.78;34.29;9.2;0.1;0.6;3.0;1.0;
88.07;2.5;16.6;51.49;148.36;5.2;1.9;6.4;98.37;2.8;0.3;33.09;7.0;4.0;36.29;26.79;9.6;66.78;40.39;26.89;26.99;4.1;0.4;0.6;1.8;0.3;
16.8;8.7;16.5;16.2;78.08;4.0;8.3;0.4;53.38;4.1;0.3;30.19;12.8;51.59;1.9;18.39;1.5;97.97;59.08;46.89;1.4;17.69;0.1;26.39;0.8;0.4;
27.69;0.0;0.1;0.0;50.19;0.0;0.0;0.0;28.79;0.0;0.0;0.1;0.0;0.0;16.7;0.0;0.0;8.1;0.0;0.0;1.1;0.0;0.0;0.0;0.0;0.0;
1.1;0.1;0.1;0.0;0.3;0.0;0.0;0.2;0.8;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.1;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.2;0.0;
3.5;1.4;3.7;3.6;6.8;0.8;0.7;0.5;5.7;0.0;0.0;2.1;1.5;0.3;0.7;5.6;1.1;0.3;1.5;3.5;0.2;1.8;0.0;0.4;0.0;0.0;
6.3;0.0;0.7;0.7;5.9;0.3;0.4;0.0;0.0;0.0;0.0;1.3;0.8;0.5;1.5;1.4;0.0;1.0;7.5;0.9;0.2;0.4;0.0;0.0;0.0;0.0;
0.8;0.0;0.2;0.6;4.9;0.3;0.1;0.0;0.1;0.1;0.0;1.1;0.4;0.2;1.5;0.4;0.1;0.0;0.3;0.1;0.0;0.7;0.4;0.0;0.0;0.2;
